ibias,mul_cap,nf_ibias,nf_Mn_drive,nf_Mn_tail1,nf_Mn_tail2,nf_Mp_stg1,nf_Mp_stg2,nf_Rz,nf_Mp3,nf_Mp4,CMRR_DC,Noise_10M,Noise_1M,Noise_DC,Phase Margin,Phase Margin Frequency,3dB Bandwidth,UGB,DC_Power,DC_Gain,Slew Rate Value,PSRR_DC
2E-05,12,8,13,22,230,11,216,119,16,8,64.6,1.019E-08,1.269E-08,4.411E-05,88.52,95690000,1821000,96430000,0.000876,48.27,72040000,-48.74
5E-06,14,2,26,44,230,21,216,130,4,2,63.34,6.548E-09,8.479E-09,3.166E-05,88.48,200900000,3441000,201300000,0.001021,48.08,147800000,-48.79
1.1E-05,12,8,13,44,460,11,216,119,8,4,63.27,9.673E-09,1.23E-08,4.43E-05,88.48,103800000,2055000,104700000,0.0009796,47.75,83530000,-48.35
8E-06,10,2,13,22,230,11,216,106,4,2,65.63,8.126E-09,1.124E-08,4.517E-05,88.46,171300000,3458000,173500000,0.001469,47.02,138600000,-47
2E-05,10,8,13,22,460,6,216,106,8,4,74.83,9.872E-09,1.276E-08,5.191E-05,88.42,107500000,2267000,108800000,0.001664,47.18,80860000,-46.57
2E-05,14,8,13,44,230,21,216,130,16,8,61.24,7.914E-09,1.086E-08,3.864E-05,88.42,144400000,2856000,146200000,0.000943,47.29,121600000,-48.06
5E-06,14,2,13,22,460,11,432,260,4,2,64.8,9.802E-09,1.238E-08,4.426E-05,88.38,80800000,1554000,81130000,0.001813,48.07,62670000,-48.46
1.7E-05,14,8,13,88,460,21,216,130,8,4,60.03,6.535E-09,1.017E-08,4.074E-05,88.38,204900000,4585000,206100000,0.001595,45.57,190700000,-46.07
8E-06,14,2,13,22,460,11,432,260,4,2,65.69,8.143E-09,1.124E-08,4.517E-05,88.36,111000000,2312000,112500000,0.002817,47.01,91070000,-46.99
1.1E-05,14,4,13,22,460,6,216,130,4,2,75.79,9.328E-09,1.237E-08,5.203E-05,88.32,87780000,1902000,88950000,0.001881,46.79,65980000,-46.01
1.1E-05,14,8,13,88,460,21,216,130,8,4,60.22,7.572E-09,1.066E-08,3.902E-05,88.26,155300000,3182000,155900000,0.001054,46.74,139300000,-47.62
8E-06,12,2,13,88,460,21,216,119,2,1,56.2,5.423E-09,1.005E-08,4.5E-05,88.19,368600000,9493000,373000000,0.003152,42.72,327700000,-42.27
2E-05,14,4,13,22,460,11,432,260,8,4,66,7.638E-09,1.094E-08,4.56E-05,88.19,123300000,2682000,123800000,0.003317,46.54,101900000,-46.34
1.7E-05,12,4,26,44,460,11,216,119,4,2,74.83,5.246E-09,7.879E-09,3.785E-05,88.14,287500000,6450000,291300000,0.00296,45.28,219100000,-44.41
1.7E-05,14,4,13,22,460,11,432,260,8,4,65.7,8.117E-09,1.123E-08,4.518E-05,88.13,110900000,2334000,112400000,0.002843,47,90090000,-46.97
1.1E-05,12,2,13,44,230,21,216,119,4,2,57.89,5.959E-09,1.003E-08,4.24E-05,88.1,299300000,6721000,302200000,0.002134,44.76,270100000,-44.71
1.7E-05,10,4,26,22,460,6,216,106,4,2,62.57,6.919E-09,9.299E-09,4.373E-05,88.09,191600000,4267000,193000000,0.002843,46.04,130000000,-44.29
1.1E-05,14,4,13,22,460,11,432,260,8,4,64.86,9.651E-09,1.227E-08,4.431E-05,88.08,82450000,1606000,83100000,0.001881,48.01,63920000,-48.37
1.7E-05,14,8,13,22,460,6,216,130,8,4,72.66,1.055E-08,1.328E-08,5.18E-05,88.07,70730000,1456000,71670000,0.001425,47.59,52070000,-47.18
1.1E-05,12,2,13,22,115,21,216,119,8,4,61.47,7.479E-09,1.061E-08,3.914E-05,88.06,193100000,3659000,194300000,0.001073,47.2,158900000,-47.66
8E-06,8,2,13,22,460,6,216,91,2,1,66.28,7.891E-09,1.141E-08,5.256E-05,88.04,194000000,4512000,195000000,0.002816,45.31,149200000,-43.8
1.7E-05,12,4,26,22,230,11,216,119,8,4,69,7.097E-09,9.131E-09,3.742E-05,88.02,173800000,3303000,176100000,0.001488,47.86,125900000,-47.79
2E-05,12,4,26,22,230,11,216,119,8,4,70.23,6.612E-09,8.777E-09,3.748E-05,88.01,195500000,3823000,196300000,0.001737,47.45,144000000,-47.2
1.7E-05,12,2,13,22,115,21,216,119,8,4,57.76,6.48E-09,1.016E-08,4.088E-05,87.98,252900000,5211000,253300000,0.001617,46.02,220900000,-46.08
1.4E-05,12,2,13,22,115,21,216,119,8,4,60.03,6.887E-09,1.032E-08,4.003E-05,87.96,224900000,4459000,228000000,0.001347,46.59,191400000,-46.84
1.4E-05,14,2,26,22,115,21,216,130,8,4,64.1,5.784E-09,7.958E-09,3.202E-05,87.86,247700000,4374000,248400000,0.001349,47.71,184500000,-47.97
1.4E-05,12,2,13,22,460,11,432,237,4,2,65.51,6.689E-09,1.047E-08,4.686E-05,87.83,178000000,4199000,180400000,0.004771,45.21,153400000,-44.5
2E-05,14,8,13,22,460,11,432,260,16,8,64.64,1.02E-08,1.269E-08,4.411E-05,87.83,74380000,1440000,75150000,0.001665,48.27,56680000,-48.73
8E-06,14,2,26,44,230,21,216,130,4,2,63.82,5.395E-09,7.716E-09,3.228E-05,87.79,279700000,5107000,283600000,0.001586,47.02,214100000,-47.33
1.4E-05,12,4,26,44,460,11,216,119,4,2,73.57,5.665E-09,8.135E-09,3.769E-05,87.79,251300000,5403000,251300000,0.002462,46.02,194600000,-45.49
1.1E-05,10,4,13,22,230,11,216,106,8,4,64.82,9.641E-09,1.227E-08,4.432E-05,87.75,125700000,2396000,125700000,0.0009836,48.01,97480000,-48.38
1.1E-05,12,4,26,44,460,11,216,119,4,2,69.5,6.259E-09,8.528E-09,3.754E-05,87.72,212400000,4339000,214800000,0.001959,46.8,163000000,-46.61
2E-05,10,4,13,22,230,11,216,106,8,4,65.93,7.628E-09,1.094E-08,4.561E-05,87.71,189300000,3994000,191000000,0.001735,46.54,157500000,-46.35
1.7E-05,14,2,26,22,115,21,216,130,8,4,63.39,5.349E-09,7.69E-09,3.232E-05,87.7,283800000,5151000,287700000,0.001621,47.21,214800000,-47.3
2E-05,14,2,26,22,115,21,216,130,8,4,62.12,5.026E-09,7.509E-09,3.261E-05,87.7,318400000,5942000,318900000,0.001891,46.74,243800000,-46.66
1.1E-05,14,2,13,22,230,11,216,130,4,2,66.07,7.241E-09,1.073E-08,4.604E-05,87.69,151400000,3392000,152600000,0.001981,46.08,127200000,-45.71
1.7E-05,10,4,13,22,230,11,216,106,8,4,65.64,8.106E-09,1.123E-08,4.518E-05,87.68,169900000,3488000,172000000,0.001487,47,138500000,-46.98
